order_id,carrier,promised_date,delivered_date,on_time,delivery_cost
O000001,BalticPost,2025-07-14,2025-07-14,1,5.15
O000002,FastShip,2025-10-15,2025-10-14,1,5.55
O000003,BalticPost,2025-05-17,2025-05-16,1,4.05
O000004,EconomyBox,2025-02-25,2025-02-25,1,5.14
O000005,BalticPost,2025-06-09,2025-06-08,1,3.79
O000006,EconomyBox,2025-02-10,2025-02-10,1,4.13
O000007,FastShip,2025-03-23,2025-03-23,1,4.88
O000008,EconomyBox,2025-05-24,2025-05-24,1,4.72
O000009,EconomyBox,2025-03-10,2025-03-09,1,3.96
O000010,BalticPost,2025-10-27,2025-10-26,1,4.62
O000011,FastShip,2025-04-27,2025-04-27,1,5.75
O000012,FastShip,2025-02-23,2025-02-22,1,6.11
O000013,BalticPost,2025-03-17,2025-03-20,0,4.4
O000014,BalticPost,2025-04-20,2025-04-20,1,4.94
O000015,FastShip,2025-10-08,2025-10-07,1,5.7
O000016,EconomyBox,2025-10-09,2025-10-09,1,4.17
O000017,BalticPost,2025-10-31,2025-10-31,1,4.07
O000018,FastShip,2025-03-09,2025-03-09,1,6.8
O000019,BalticPost,2025-06-11,2025-06-11,1,5.56
O000020,EconomyBox,2025-07-04,2025-07-03,1,2.98
O000021,FastShip,2025-03-03,2025-03-02,1,5.15
O000022,FastShip,2025-04-10,2025-04-09,1,4.89
O000023,FastShip,2025-02-16,2025-02-15,1,4.59
O000024,FastShip,2025-07-23,2025-07-22,1,5.34
O000025,EconomyBox,2025-08-26,2025-08-25,1,3.49
O000026,FastShip,2025-10-05,2025-10-05,1,5.64
O000027,FastShip,2025-06-24,2025-06-24,1,5.17
O000028,BalticPost,2025-09-01,2025-09-05,0,4.76
O000029,BalticPost,2025-02-15,2025-02-14,1,4.35
O000030,FastShip,2025-08-20,2025-08-19,1,6.3
O000031,BalticPost,2025-09-11,2025-09-10,1,4.92
O000032,EconomyBox,2025-11-10,2025-11-10,1,4.3
O000033,EconomyBox,2025-12-03,2025-12-05,0,4.08
O000034,EconomyBox,2025-11-28,2025-12-01,0,4.7
O000035,BalticPost,2025-06-13,2025-06-13,1,4.93
O000036,FastShip,2025-09-21,2025-09-20,1,5.47
O000037,EconomyBox,2025-11-01,2025-10-31,1,4.89
O000038,FastShip,2025-12-04,2025-12-04,1,6.07
O000039,BalticPost,2025-06-05,2025-06-04,1,4.06
O000040,EconomyBox,2025-08-25,2025-08-25,1,5.02
O000041,EconomyBox,2025-06-05,2025-06-05,1,2.91
O000042,FastShip,2025-07-17,2025-07-17,1,5.44
O000043,BalticPost,2025-10-18,2025-10-18,1,5.2
O000044,FastShip,2025-07-06,2025-07-06,1,6.27
O000045,EconomyBox,2025-08-23,2025-08-22,1,3.65
O000046,BalticPost,2025-10-02,2025-10-02,1,5.12
O000047,EconomyBox,2025-02-13,2025-02-13,1,3.23
O000048,BalticPost,2025-06-13,2025-06-12,1,4.26
O000049,EconomyBox,2025-08-26,2025-08-26,1,4.62
O000050,FastShip,2025-08-18,2025-08-17,1,5.13
O000051,FastShip,2025-05-23,2025-05-23,1,5.73
O000052,BalticPost,2025-07-09,2025-07-08,1,4.62
O000053,FastShip,2025-07-16,2025-07-15,1,5.71
O000054,BalticPost,2025-07-24,2025-07-23,1,4.22
O000055,FastShip,2025-09-07,2025-09-06,1,6.26
O000056,BalticPost,2025-04-27,2025-04-27,1,6.02
O000057,FastShip,2025-09-09,2025-09-08,1,6.4
O000058,BalticPost,2025-10-26,2025-10-29,0,5.11
O000059,BalticPost,2025-06-18,2025-06-18,1,4.13
O000060,FastShip,2025-07-11,2025-07-10,1,4.48
O000061,BalticPost,2025-07-16,2025-07-16,1,5.45
O000062,BalticPost,2025-03-04,2025-03-03,1,4.21
O000063,EconomyBox,2025-08-06,2025-08-05,1,4.65
O000064,FastShip,2025-02-07,2025-02-07,1,6.55
O000065,FastShip,2025-03-15,2025-03-14,1,6.62
O000066,BalticPost,2025-07-13,2025-07-15,0,4.01
O000067,FastShip,2025-08-12,2025-08-12,1,4.26
O000068,BalticPost,2025-08-30,2025-08-29,1,4.35
O000069,BalticPost,2025-06-29,2025-06-29,1,5.34
O000070,FastShip,2025-06-04,2025-06-03,1,6.13
O000071,BalticPost,2025-03-30,2025-04-02,0,4.28
O000072,FastShip,2025-04-18,2025-04-17,1,5.25
O000073,BalticPost,2025-08-07,2025-08-07,1,4.01
O000074,BalticPost,2025-03-01,2025-02-28,1,4.41
O000075,BalticPost,2025-03-30,2025-03-30,1,4.49
O000076,BalticPost,2025-05-30,2025-05-29,1,3.65
O000077,FastShip,2025-09-07,2025-09-07,1,5.85
O000078,FastShip,2025-10-05,2025-10-05,1,5.17
O000079,EconomyBox,2025-07-18,2025-07-18,1,3.2
O000080,BalticPost,2025-02-10,2025-02-09,1,4.37
O000081,BalticPost,2025-06-14,2025-06-14,1,4.52
O000082,FastShip,2025-07-31,2025-08-04,0,5.53
O000083,BalticPost,2025-06-29,2025-06-28,1,4.25
O000084,EconomyBox,2025-10-07,2025-10-07,1,3.1
O000085,BalticPost,2025-05-02,2025-05-01,1,5.51
O000086,BalticPost,2025-03-30,2025-03-29,1,4.86
O000087,EconomyBox,2025-03-15,2025-03-15,1,4.34
O000088,BalticPost,2025-08-18,2025-08-17,1,4.46
O000089,BalticPost,2025-05-21,2025-05-21,1,4.21
O000090,FastShip,2025-05-27,2025-05-27,1,5.51
O000091,BalticPost,2025-08-09,2025-08-09,1,5.34
O000092,BalticPost,2025-10-21,2025-10-21,1,4.92
O000093,BalticPost,2025-02-15,2025-02-14,1,4.06
O000094,BalticPost,2025-03-14,2025-03-14,1,3.51
O000095,FastShip,2025-10-04,2025-10-04,1,5.73
O000096,FastShip,2025-05-11,2025-05-10,1,7.04
O000097,FastShip,2025-04-09,2025-04-09,1,5.5
O000098,EconomyBox,2025-09-09,2025-09-09,1,3.49
O000099,EconomyBox,2025-09-29,2025-09-28,1,3.15
O000100,BalticPost,2025-10-26,2025-10-26,1,4.42
O000101,FastShip,2025-12-13,2025-12-12,1,6.51
O000102,BalticPost,2025-10-14,2025-10-14,1,5.49
O000103,FastShip,2025-02-01,2025-02-01,1,4.97
O000104,FastShip,2025-04-30,2025-04-29,1,7.17
O000105,EconomyBox,2025-08-24,2025-08-23,1,4.93
