prospect_id,experiment_id,treatment,assignment_date
P00001,free_shipping_threshold,treatment,2025-04-25
P00002,free_shipping_threshold,treatment,2025-08-03
P00003,free_shipping_threshold,control,2025-06-26
P00004,free_shipping_threshold,control,2025-05-29
P00005,free_shipping_threshold,control,2025-03-29
P00006,free_shipping_threshold,control,2025-10-18
P00007,free_shipping_threshold,treatment,2025-07-24
P00008,free_shipping_threshold,control,2025-08-28
P00009,free_shipping_threshold,control,2025-05-15
P00010,free_shipping_threshold,control,2025-01-01
P00011,free_shipping_threshold,control,2025-09-30
P00012,free_shipping_threshold,treatment,2025-07-11
P00013,free_shipping_threshold,treatment,2025-08-05
P00014,free_shipping_threshold,treatment,2025-10-02
P00015,free_shipping_threshold,treatment,2025-03-27
P00016,free_shipping_threshold,control,2025-10-12
P00017,free_shipping_threshold,treatment,2025-05-14
P00018,free_shipping_threshold,control,2025-02-23
P00019,free_shipping_threshold,treatment,2025-01-27
P00020,free_shipping_threshold,control,2025-03-18
P00021,free_shipping_threshold,treatment,2025-02-22
P00022,free_shipping_threshold,control,2025-06-06
P00023,free_shipping_threshold,treatment,2025-08-12
P00024,free_shipping_threshold,control,2025-06-10
P00025,free_shipping_threshold,control,2025-07-27
P00026,free_shipping_threshold,control,2025-03-28
P00027,free_shipping_threshold,treatment,2025-02-07
P00028,free_shipping_threshold,treatment,2025-05-21
P00029,free_shipping_threshold,control,2025-10-07
P00030,free_shipping_threshold,control,2025-03-07
P00031,free_shipping_threshold,control,2025-01-11
P00032,free_shipping_threshold,treatment,2025-10-24
P00033,free_shipping_threshold,control,2025-08-24
P00034,free_shipping_threshold,treatment,2025-05-18
P00035,free_shipping_threshold,control,2025-05-24
P00036,free_shipping_threshold,treatment,2025-04-24
P00037,free_shipping_threshold,treatment,2025-07-04
P00038,free_shipping_threshold,control,2025-04-05
P00039,free_shipping_threshold,treatment,2025-05-08
P00040,free_shipping_threshold,control,2025-02-20
P00041,free_shipping_threshold,treatment,2025-03-14
P00042,free_shipping_threshold,control,2025-07-30
P00043,free_shipping_threshold,treatment,2025-10-05
P00044,free_shipping_threshold,control,2025-05-30
P00045,free_shipping_threshold,treatment,2025-08-01
P00046,free_shipping_threshold,treatment,2025-10-06
P00047,free_shipping_threshold,treatment,2025-03-21
P00048,free_shipping_threshold,control,2025-09-07
P00049,free_shipping_threshold,treatment,2025-02-21
P00050,free_shipping_threshold,treatment,2025-05-04
P00051,free_shipping_threshold,treatment,2025-02-07
P00052,free_shipping_threshold,treatment,2025-10-22
P00053,free_shipping_threshold,control,2025-09-12
P00054,free_shipping_threshold,treatment,2025-01-21
P00055,free_shipping_threshold,control,2025-07-07
P00056,free_shipping_threshold,control,2025-07-23
P00057,free_shipping_threshold,treatment,2025-07-10
P00058,free_shipping_threshold,treatment,2025-03-13
P00059,free_shipping_threshold,control,2025-03-21
P00060,free_shipping_threshold,treatment,2025-07-03
P00061,free_shipping_threshold,treatment,2025-10-28
P00062,free_shipping_threshold,treatment,2025-09-24
P00063,free_shipping_threshold,treatment,2025-03-06
P00064,free_shipping_threshold,control,2025-02-19
P00065,free_shipping_threshold,control,2025-01-27
P00066,free_shipping_threshold,control,2025-08-08
P00067,free_shipping_threshold,control,2025-06-08
P00068,free_shipping_threshold,treatment,2025-09-20
P00069,free_shipping_threshold,control,2025-03-12
P00070,free_shipping_threshold,treatment,2025-07-01
P00071,free_shipping_threshold,control,2025-02-28
P00072,free_shipping_threshold,treatment,2025-09-17
P00073,free_shipping_threshold,control,2025-02-13
P00074,free_shipping_threshold,treatment,2025-07-20
P00075,free_shipping_threshold,control,2025-08-29
P00076,free_shipping_threshold,control,2025-04-13
P00077,free_shipping_threshold,treatment,2025-09-20
P00078,free_shipping_threshold,control,2025-06-21
P00079,free_shipping_threshold,control,2025-05-04
P00080,free_shipping_threshold,treatment,2025-08-29
P00081,free_shipping_threshold,treatment,2025-01-22
P00082,free_shipping_threshold,treatment,2025-06-19
P00083,free_shipping_threshold,control,2025-02-12
P00084,free_shipping_threshold,treatment,2025-08-13
P00085,free_shipping_threshold,control,2025-02-09
P00086,free_shipping_threshold,treatment,2025-08-17
P00087,free_shipping_threshold,control,2025-06-22
P00088,free_shipping_threshold,treatment,2025-10-07
P00089,free_shipping_threshold,control,2025-06-10
P00090,free_shipping_threshold,control,2025-07-21
P00091,free_shipping_threshold,treatment,2025-02-25
P00092,free_shipping_threshold,control,2025-05-24
P00093,free_shipping_threshold,treatment,2025-09-18
P00094,free_shipping_threshold,control,2025-08-30
P00095,free_shipping_threshold,control,2025-07-01
P00096,free_shipping_threshold,control,2025-06-02
P00097,free_shipping_threshold,treatment,2025-05-20
P00098,free_shipping_threshold,control,2025-01-03
P00099,free_shipping_threshold,treatment,2025-10-21
P00100,free_shipping_threshold,control,2025-06-02
P00101,free_shipping_threshold,control,2025-05-12
P00102,free_shipping_threshold,treatment,2025-02-18
P00103,free_shipping_threshold,treatment,2025-01-06
P00104,free_shipping_threshold,treatment,2025-06-01
P00105,free_shipping_threshold,control,2025-05-07
P00106,free_shipping_threshold,treatment,2025-03-26
P00107,free_shipping_threshold,control,2025-08-22
P00108,free_shipping_threshold,control,2025-02-11
P00109,free_shipping_threshold,treatment,2025-06-02
P00110,free_shipping_threshold,treatment,2025-09-24
P00111,free_shipping_threshold,control,2025-07-15
P00112,free_shipping_threshold,treatment,2025-10-15
P00113,free_shipping_threshold,control,2025-04-08
P00114,free_shipping_threshold,treatment,2025-07-03
P00115,free_shipping_threshold,control,2025-09-05
P00116,free_shipping_threshold,treatment,2025-04-02
P00117,free_shipping_threshold,treatment,2025-10-17
P00118,free_shipping_threshold,treatment,2025-03-29
P00119,free_shipping_threshold,treatment,2025-05-19
P00120,free_shipping_threshold,control,2025-07-23
P00121,free_shipping_threshold,control,2025-02-10
P00122,free_shipping_threshold,treatment,2025-06-12
P00123,free_shipping_threshold,treatment,2025-01-07
P00124,free_shipping_threshold,treatment,2025-06-04
P00125,free_shipping_threshold,treatment,2025-03-11
P00126,free_shipping_threshold,treatment,2025-03-11
P00127,free_shipping_threshold,control,2025-05-24
P00128,free_shipping_threshold,treatment,2025-04-18
P00129,free_shipping_threshold,treatment,2025-02-07
P00130,free_shipping_threshold,control,2025-10-02
P00131,free_shipping_threshold,treatment,2025-08-09
P00132,free_shipping_threshold,treatment,2025-09-14
P00133,free_shipping_threshold,treatment,2025-08-20
P00134,free_shipping_threshold,treatment,2025-10-14
P00135,free_shipping_threshold,treatment,2025-04-20
P00136,free_shipping_threshold,control,2025-06-10
P00137,free_shipping_threshold,control,2025-06-11
P00138,free_shipping_threshold,treatment,2025-08-16
P00139,free_shipping_threshold,control,2025-09-11
P00140,free_shipping_threshold,treatment,2025-05-07
P00141,free_shipping_threshold,control,2025-06-29
P00142,free_shipping_threshold,treatment,2025-05-30
P00143,free_shipping_threshold,control,2025-03-06
P00144,free_shipping_threshold,treatment,2025-02-17
P00145,free_shipping_threshold,control,2025-08-23
P00146,free_shipping_threshold,control,2025-03-09
P00147,free_shipping_threshold,treatment,2025-04-30
P00148,free_shipping_threshold,control,2025-03-03
P00149,free_shipping_threshold,control,2025-03-10
P00150,free_shipping_threshold,control,2025-08-15
P00151,free_shipping_threshold,treatment,2025-07-17
P00152,free_shipping_threshold,treatment,2025-02-04
P00153,free_shipping_threshold,control,2025-10-02
P00154,free_shipping_threshold,control,2025-06-08
P00155,free_shipping_threshold,control,2025-03-12
P00156,free_shipping_threshold,control,2025-05-20
P00157,free_shipping_threshold,control,2025-04-11
P00158,free_shipping_threshold,treatment,2025-05-02
P00159,free_shipping_threshold,treatment,2025-07-21
P00160,free_shipping_threshold,control,2025-01-26
P00161,free_shipping_threshold,treatment,2025-04-24
P00162,free_shipping_threshold,control,2025-04-20
P00163,free_shipping_threshold,treatment,2025-08-03
P00164,free_shipping_threshold,treatment,2025-09-06
P00165,free_shipping_threshold,control,2025-04-07
P00166,free_shipping_threshold,treatment,2025-06-15
P00167,free_shipping_threshold,control,2025-04-24
P00168,free_shipping_threshold,treatment,2025-06-21
P00169,free_shipping_threshold,treatment,2025-07-13
P00170,free_shipping_threshold,treatment,2025-08-11
P00171,free_shipping_threshold,treatment,2025-01-26
P00172,free_shipping_threshold,treatment,2025-03-01
P00173,free_shipping_threshold,control,2025-08-03
P00174,free_shipping_threshold,treatment,2025-02-04
P00175,free_shipping_threshold,treatment,2025-07-10
P00176,free_shipping_threshold,treatment,2025-06-26
P00177,free_shipping_threshold,control,2025-07-12
P00178,free_shipping_threshold,control,2025-07-11
P00179,free_shipping_threshold,treatment,2025-04-07
P00180,free_shipping_threshold,treatment,2025-06-01
P00181,free_shipping_threshold,treatment,2025-04-24
P00182,free_shipping_threshold,treatment,2025-02-06
P00183,free_shipping_threshold,control,2025-10-19
P00184,free_shipping_threshold,control,2025-03-28
P00185,free_shipping_threshold,treatment,2025-10-01
P00186,free_shipping_threshold,treatment,2025-03-27
P00187,free_shipping_threshold,control,2025-08-04
P00188,free_shipping_threshold,control,2025-02-26
P00189,free_shipping_threshold,treatment,2025-08-13
P00190,free_shipping_threshold,treatment,2025-07-30
P00191,free_shipping_threshold,treatment,2025-09-04
P00192,free_shipping_threshold,control,2025-08-22
P00193,free_shipping_threshold,treatment,2025-02-28
P00194,free_shipping_threshold,control,2025-05-11
P00195,free_shipping_threshold,treatment,2025-08-19
P00196,free_shipping_threshold,treatment,2025-10-24
P00197,free_shipping_threshold,treatment,2025-05-08
P00198,free_shipping_threshold,treatment,2025-04-13
P00199,free_shipping_threshold,control,2025-03-01
P00200,free_shipping_threshold,treatment,2025-07-15
P00201,free_shipping_threshold,control,2025-08-02
P00202,free_shipping_threshold,control,2025-07-08
P00203,free_shipping_threshold,treatment,2025-03-08
P00204,free_shipping_threshold,control,2025-02-07
P00205,free_shipping_threshold,control,2025-01-21
P00206,free_shipping_threshold,treatment,2025-01-23
P00207,free_shipping_threshold,control,2025-04-20
