order_id,customer_id,prospect_id,order_date,market,acquisition_channel,category,order_status,gross_revenue,discount_amount,refund_amount,product_cost,delivery_cost,payment_cost,fulfillment_cost,attributed_marketing_cost,net_revenue,contribution_margin
O000001,C00001,P00012,2025-07-11,LT,Paid Search,Pet Care,completed,37.0,0.0,0,19.31,5.15,0.87,2.69,16.7,37.0,-7.72
O000002,C00002,P00016,2025-10-12,LV,Organic Search,Electronics,completed,123.84,6.19,0,84.33,5.55,2.43,2.12,5.87,117.65,17.35
O000003,C00003,P00017,2025-05-14,LV,Organic Search,Electronics,completed,127.27,8.91,0,87.72,4.05,2.49,2.39,5.21,118.36,16.5
O000004,C00004,P00021,2025-02-22,EE,Paid Search,Home,completed,99.2,9.92,0,58.35,5.14,1.99,2.14,20.34,89.28,1.32
O000005,C00005,P00022,2025-06-06,LV,CRM,Home,completed,42.6,4.26,0,25.27,3.79,0.97,2.0,3.8,38.34,2.51
O000006,C00006,P00027,2025-02-07,LV,Paid Search,Home,completed,20.84,0.0,0,11.62,4.13,0.58,2.31,24.16,20.84,-21.96
O000007,C00006,P00027,2025-03-20,LV,Paid Search,Pet Care,completed,17.73,1.77,0,9.58,4.88,0.52,2.04,0.72,15.96,-1.78
O000008,C00007,P00028,2025-05-21,LT,Organic Search,Beauty,completed,49.51,4.95,0,22.27,4.72,1.09,2.59,4.28,44.56,9.61
O000009,C00008,P00030,2025-03-07,LT,CRM,Home,completed,59.4,0.0,0,35.34,3.96,1.27,2.49,4.28,59.4,12.06
O000010,C00009,P00032,2025-10-24,LT,Paid Search,Beauty,completed,19.58,0.98,0,8.55,4.62,0.55,2.36,18.93,18.6,-16.41
O000011,C00010,P00036,2025-04-24,LT,CRM,Electronics,completed,133.13,9.32,0,91.3,5.75,2.6,2.55,3.42,123.81,18.19
O000012,C00011,P00040,2025-02-20,EE,Paid Social,Beauty,completed,41.28,4.13,0,17.61,6.11,0.94,2.61,24.74,37.15,-14.86
O000013,C00012,P00041,2025-03-14,LT,Organic Search,Electronics,completed,49.48,2.47,0,33.46,4.4,1.09,2.51,5.6,47.01,-0.05
O000014,C00012,P00041,2025-04-17,LT,Organic Search,Sports,completed,43.49,2.17,0,25.4,4.94,0.98,2.47,0.17,41.32,7.36
O000015,C00013,P00043,2025-10-05,LV,Paid Social,Electronics,completed,106.41,7.45,0,72.32,5.7,2.12,2.72,27.6,98.96,-11.5
O000016,C00014,P00046,2025-10-06,LV,Paid Social,Home,completed,87.49,6.12,72.25,50.26,4.17,1.77,2.69,27.77,9.12,-77.54
O000017,C00015,P00061,2025-10-28,LV,CRM,Beauty,completed,37.35,0.0,0,15.62,4.07,0.87,2.23,4.15,37.35,10.41
O000018,C00016,P00063,2025-03-06,EE,Paid Social,Home,completed,27.58,0.0,0,15.58,6.8,0.7,2.18,29.15,27.58,-26.83
O000019,C00017,P00067,2025-06-08,EE,Paid Search,Electronics,completed,102.42,0.0,68.46,69.94,5.56,2.04,2.51,15.29,33.96,-61.38
O000020,C00018,P00070,2025-07-01,LV,Organic Search,Beauty,completed,29.05,0.0,0,12.64,2.98,0.72,2.68,4.6,29.05,5.43
O000021,C00019,P00071,2025-02-28,LV,Paid Search,Beauty,completed,38.87,3.89,0,17.37,5.15,0.9,2.68,17.42,34.98,-8.54
O000022,C00019,P00071,2025-04-07,LV,Paid Search,Beauty,completed,34.63,0.0,0,14.91,4.89,0.82,1.95,0.52,34.63,11.54
O000023,C00020,P00073,2025-02-13,LV,CRM,Sports,completed,85.11,0.0,0,50.58,4.59,1.73,2.67,4.39,85.11,21.15
O000024,C00021,P00074,2025-07-20,LT,Paid Search,Home,completed,12,0,0,6.65,5.34,0.42,2.75,22.62,12,-25.78
O000025,C00021,P00074,2025-08-23,LT,Paid Search,Home,completed,60.82,4.26,0,35.83,3.49,1.29,2.2,0.68,56.56,13.07
O000026,C00021,P00074,2025-10-02,LT,Paid Search,Home,completed,48.41,2.42,0,27.44,5.64,1.07,2.51,0.68,45.99,8.65
O000027,C00022,P00078,2025-06-21,LV,Paid Search,Beauty,completed,18.19,0.0,0,7.77,5.17,0.53,2.46,15.3,18.19,-13.04
O000028,C00023,P00080,2025-08-29,LT,Paid Social,Electronics,completed,86.86,6.08,0,62.01,4.76,1.76,2.53,29.63,80.78,-19.91
O000029,C00024,P00083,2025-02-12,LV,CRM,Home,completed,46.72,4.67,0,26.48,4.35,1.04,2.61,4.55,42.05,3.02
O000030,C00025,P00086,2025-08-17,LT,Paid Search,Pet Care,completed,48.8,0.0,0,26.33,6.3,1.08,2.54,23.61,48.8,-11.06
O000031,C00025,P00086,2025-09-08,LT,Paid Search,Home,completed,46.28,0.0,0,26.06,4.92,1.03,2.32,0.71,46.28,11.24
O000032,C00025,P00086,2025-11-07,LT,Paid Search,Home,completed,58.34,4.08,0,32.99,4.3,1.25,2.01,0.71,54.26,13.0
O000033,C00025,P00086,2025-11-30,LT,Paid Search,Home,completed,67.07,4.69,0,39.79,4.08,1.41,2.72,0.71,62.38,13.67
O000034,C00025,P00086,2025-11-25,LT,Paid Search,Home,completed,63.22,4.43,0,37.28,4.7,1.34,2.13,0.71,58.79,12.63
O000035,C00026,P00089,2025-06-10,LT,Paid Search,Pet Care,completed,41.43,4.14,0,21.19,4.93,0.95,2.18,13.32,37.29,-5.28
O000036,C00027,P00093,2025-09-18,LT,Paid Social,Electronics,completed,90.96,6.37,0,64.62,5.47,1.84,2.63,23.96,84.59,-13.93
O000037,C00027,P00093,2025-10-29,LT,Paid Social,Beauty,completed,49.11,0.0,0,21.99,4.89,1.08,2.42,0.72,49.11,18.01
O000038,C00027,P00093,2025-12-01,LT,Paid Social,Electronics,completed,106.18,7.43,0,74.71,6.07,2.11,2.07,0.72,98.75,13.07
O000039,C00028,P00096,2025-06-02,LV,Paid Social,Home,completed,67.88,0.0,0,38.17,4.06,1.42,2.13,20.54,67.88,1.56
O000040,C00029,P00107,2025-08-22,EE,Paid Social,Electronics,completed,84.48,0.0,0,59.73,5.02,1.72,2.77,29.09,84.48,-13.85
O000041,C00030,P00109,2025-06-02,LV,Paid Search,Beauty,completed,62.41,4.37,0,26.21,2.91,1.32,2.44,12.91,58.04,12.25
O000042,C00030,P00109,2025-07-14,LV,Paid Search,Electronics,completed,94.2,9.42,77.84,64.95,5.44,1.9,2.56,0.39,6.94,-68.3
O000043,C00031,P00112,2025-10-15,LT,CRM,Pet Care,completed,36.09,1.8,0,18.2,5.2,0.85,2.55,4.49,34.29,3.0
O000044,C00032,P00114,2025-07-03,LT,Paid Social,Beauty,completed,24.67,0.0,0,10.71,6.27,0.64,2.35,25.1,24.67,-20.4
O000045,C00032,P00114,2025-08-20,LT,Paid Social,Beauty,completed,32.97,0.0,0,14.26,3.65,0.79,2.39,0.75,32.97,11.13
O000046,C00032,P00114,2025-09-29,LT,Paid Social,Sports,completed,47.99,0.0,0,28.15,5.12,1.06,1.91,0.75,47.99,11.0
O000047,C00033,P00121,2025-02-10,LV,CRM,Home,completed,73.0,0.0,0,40.86,3.23,1.51,1.97,5.58,73.0,19.85
O000048,C00034,P00136,2025-06-10,LV,CRM,Beauty,completed,47.27,0.0,0,21.03,4.26,1.05,2.28,3.01,47.27,15.64
O000049,C00035,P00145,2025-08-23,EE,CRM,Electronics,completed,83.36,0.0,0,59.54,4.62,1.7,2.01,4.78,83.36,10.71
O000050,C00036,P00150,2025-08-15,LV,CRM,Beauty,completed,40.81,2.04,0,17.36,5.13,0.93,2.07,3.91,38.77,9.37
O000051,C00037,P00156,2025-05-20,LT,Paid Search,Sports,completed,102.9,0.0,0,60.43,5.73,2.05,2.24,16.67,102.9,15.78
O000052,C00037,P00156,2025-07-06,LT,Paid Search,Sports,completed,113.36,5.67,0,65.62,4.62,2.24,2.35,0.5,107.69,32.36
