prospect_id,market,acquisition_channel,category_interest,device_type,engagement_score,assignment_date,converted
P00001,LT,Paid Search,Home,mobile,0.5163,2025-04-25,0
P00002,LT,Organic Search,Sports,mobile,0.6692,2025-08-03,0
P00003,LV,Paid Search,Electronics,desktop,0.5258,2025-06-26,0
P00004,LT,Paid Search,Home,desktop,0.5687,2025-05-29,0
P00005,LT,Organic Search,Electronics,mobile,0.5339,2025-03-29,0
P00006,EE,Paid Social,Electronics,mobile,0.6101,2025-10-18,0
P00007,LV,Organic Search,Pet Care,desktop,0.1442,2025-07-24,0
P00008,LT,Paid Social,Beauty,desktop,0.5264,2025-08-28,0
P00009,LV,Paid Social,Beauty,desktop,0.3695,2025-05-15,0
P00010,LV,Affiliate,Pet Care,mobile,0.284,2025-01-01,0
P00011,LV,CRM,Sports,mobile,0.5141,2025-09-30,0
P00012,LT,Paid Search,Home,mobile,0.2523,2025-07-11,1
P00013,LV,Paid Search,Home,desktop,0.1094,2025-08-05,0
P00014,EE,Paid Search,Electronics,mobile,0.1655,2025-10-02,0
P00015,EE,Affiliate,Sports,mobile,0.6982,2025-03-27,0
P00016,LV,Organic Search,Sports,mobile,0.5252,2025-10-12,1
P00017,LV,Organic Search,Beauty,desktop,0.2228,2025-05-14,1
P00018,LT,Organic Search,Pet Care,mobile,0.1831,2025-02-23,0
P00019,LT,Paid Search,Beauty,mobile,0.6804,2025-01-27,0
P00020,LV,Paid Search,Electronics,desktop,0.6622,2025-03-18,0
P00021,EE,Paid Search,Home,mobile,0.5554,2025-02-22,1
P00022,LV,CRM,Beauty,desktop,0.3076,2025-06-06,1
P00023,LV,Organic Search,Home,desktop,0.331,2025-08-12,0
P00024,LV,Organic Search,Home,mobile,0.4199,2025-06-10,0
P00025,LT,Paid Search,Beauty,mobile,0.2791,2025-07-27,0
P00026,LV,Paid Search,Beauty,mobile,0.7323,2025-03-28,0
P00027,LV,Paid Search,Pet Care,desktop,0.5085,2025-02-07,1
P00028,LT,Organic Search,Beauty,desktop,0.4477,2025-05-21,1
P00029,EE,Affiliate,Home,desktop,0.4182,2025-10-07,0
P00030,LT,CRM,Sports,mobile,0.5375,2025-03-07,1
P00031,LT,Affiliate,Electronics,mobile,0.5181,2025-01-11,0
P00032,LT,Paid Search,Home,mobile,0.56,2025-10-24,1
P00033,LV,Paid Social,Pet Care,mobile,0.6529,2025-08-24,0
P00034,LT,Paid Social,Sports,mobile,0.3646,2025-05-18,0
P00035,LT,Paid Social,Home,desktop,0.4197,2025-05-24,0
P00036,LT,CRM,Electronics,mobile,0.4841,2025-04-24,1
P00037,EE,CRM,Home,mobile,0.3503,2025-07-04,0
P00038,LT,Paid Social,Home,mobile,0.134,2025-04-05,0
P00039,EE,Affiliate,Electronics,desktop,0.6054,2025-05-08,0
P00040,EE,Paid Social,Beauty,mobile,0.425,2025-02-20,1
P00041,LT,Organic Search,Pet Care,mobile,0.2936,2025-03-14,1
P00042,LV,Paid Search,Electronics,mobile,0.5277,2025-07-30,0
P00043,LV,Paid Social,Pet Care,mobile,0.4283,2025-10-05,1
P00044,LT,Paid Search,Pet Care,mobile,0.7331,2025-05-30,0
P00045,EE,CRM,Home,desktop,0.5112,2025-08-01,0
P00046,LV,Paid Social,Home,desktop,0.7629,2025-10-06,1
P00047,LV,Paid Search,Pet Care,desktop,0.3343,2025-03-21,0
P00048,EE,Organic Search,Pet Care,mobile,0.0594,2025-09-07,0
P00049,LV,Paid Search,Beauty,desktop,0.6475,2025-02-21,0
P00050,LV,Paid Search,Pet Care,mobile,0.2909,2025-05-04,0
P00051,LV,Paid Social,Beauty,mobile,0.4969,2025-02-07,0
P00052,LT,Paid Search,Beauty,desktop,0.1044,2025-10-22,0
P00053,LT,Affiliate,Pet Care,desktop,0.7206,2025-09-12,0
P00054,LV,Paid Search,Beauty,mobile,0.6972,2025-01-21,0
